id,product_code,name,volume,price,category,stock,image_url,target_gender,target_age_group,mood_tag,usage_context
1,9583297f-78a6-4dfc-84a5-82f214b9e86e,Dầu đậu nành tinh luyện Janbee,1 lít,69500,Dầu ăn,24,https://drive.google.com/uc?export=view&id=1Znb8L872Ftc-SFh26afcO92PGV-EBQoa,female,35_44,neutral,cooking
2,76e07498-8366-4687-a82e-2a47ecd1e994,Dầu thực vật tinh luyện Cái Lân,1 lít,46000,Dầu ăn,139,https://drive.google.com/uc?export=view&id=117xFuHs-11UrASZhcpa3QP3RzUFkiale,female,35_44,neutral,cooking
3,fb8b76f0-baea-440d-acf3-f80e738a7958,Dầu ăn thượng hạng Neptune Light,1 lít,69000,Dầu ăn,102,https://drive.google.com/uc?export=view&id=1VKWc0TYgc4xxnRT4lqcgq8zI7BCYc8YU,female,35_44,neutral,cooking
4,2552366a-29a2-46a3-943a-3d8fb45b3fad,Dầu đậu nành nguyên chất Simply,1 lít,59000,Dầu ăn,79,https://drive.google.com/uc?export=view&id=1Zco1o7WXG42g5QrsasNwD41xrhwEIlns,female,35_44,neutral,cooking
5,9258ca2f-5e05-4eac-be09-b5a69a4b9cd0,Nước mắm Nam Ngư nhãn vàng 14 độ đạm,650ml,41500,Gia vị,189,https://drive.google.com/uc?export=view&id=1foQLbgq-0Hb8eJTdmD0bqAXSF98nZaw3,female,35_44,neutral,cooking
6,4261ad1a-adce-4554-9710-a9edbdc16f52,Nước chấm Nam Ngư Đệ Nhị,900ml,25500,Gia vị,83,https://drive.google.com/uc?export=view&id=1BGTrRqN8smtxj-zOguViCeoXIT0cIR-q,unisex,25_34,neutral,daily
7,271cc8ca-e37c-4277-90dc-36f3b624ac9a,Nước chấm chua ngọt Nam Ngư ớt tỏi Lý Sơn,300ml,35000,Rau gia vị,29,https://drive.google.com/uc?export=view&id=1wbQG83XdQ3X1LbcP8G2lzqOezqK10s8s,unisex,25_34,neutral,daily
8,f14b1d05-1fb7-4ffd-832c-bda06d1396e8,Nước mắm Barona Đại Nhất 12 độ đạm,750ml,39000,Gia vị,75,https://drive.google.com/uc?export=view&id=1ouzMlb9zQ6fusVqi0nKz1z91UZR0QHiX,female,35_44,neutral,cooking
9,e4c1b87f-da03-460d-970f-cccf1b363bc7,Nước mắm Chinsu cá cơm biển đông 25 độ đạm,720ml,51000,Gia vị,92,https://drive.google.com/uc?export=view&id=15lBaNVnu-vbSWMbfkbY-fGqQfk0rdi9z,female,35_44,neutral,cooking
10,63a338bb-de9f-45cb-b283-d0abab06015d,Nước tương Nhị Ca Tam Thái Tử chai,500ml,8800,Gia vị,86,https://drive.google.com/uc?export=view&id=1Tz9giGGj57PB4uIK6RrBCQ1GM8T50Qq2,unisex,25_34,neutral,daily
